date,hour,fw,bw
2016-10-27,17,1974,1841
2016-10-27,18,1602,1562
2016-10-27,19,847,938
2016-10-27,20,414,454
2016-10-27,21,331,308
2016-10-27,22,248,260
2016-10-27,23,137,136
2016-10-28,00,66,75
2016-10-28,01,14,11
2016-10-28,02,13,10
2016-10-28,03,3,7
2016-10-28,04,6,4
2016-10-28,05,16,12
2016-10-28,06,47,20
2016-10-28,07,370,319
2016-10-28,08,665,576
2016-10-28,09,1019,841
2016-10-28,10,1472,1278
2016-10-28,11,1636,1463
2016-10-28,12,1760,1618
2016-10-28,13,1619,1732
2016-10-28,14,1861,1684
2016-10-28,15,2059,1883
2016-10-28,16,2045,1937
2016-10-28,17,2070,1927
2016-10-28,18,1755,1737
2016-10-28,19,962,1064
2016-10-28,20,569,608
2016-10-28,21,450,407
2016-10-28,22,559,516
2016-10-28,23,394,357
2016-10-29,00,171,201
2016-10-29,01,59,49
2016-10-29,02,20,26
2016-10-29,03,6,7
2016-10-29,04,12,15
2016-10-29,05,10,3
2016-10-29,06,24,19
2016-10-29,07,177,154
2016-10-29,08,362,305
2016-10-29,09,1075,926
2016-10-29,10,2059,1848
2016-10-29,11,3345,3035
2016-10-29,12,3307,2997
2016-10-29,13,2475,2293
2016-10-29,14,3048,2900
2016-10-29,15,4397,4059
2016-10-29,16,5326,5076
2016-10-29,17,5375,5103
2016-10-29,18,4344,4187
2016-10-29,19,2433,2562
2016-10-29,20,969,943
2016-10-29,21,912,897
2016-10-29,22,919,868
2016-10-29,23,702,710
2016-10-30,00,308,309
2016-10-30,01,95,167
2016-10-30,02,37,45
2016-10-30,03,10,11
2016-10-30,04,6,6
2016-10-30,05,7,6
2016-10-30,06,33,30
2016-10-30,07,160,97
2016-10-30,08,469,437
2016-10-30,09,1202,893
2016-10-30,10,2511,2166
2016-10-30,11,3746,2970
2016-10-30,12,3569,2997
2016-10-30,13,2642,2377
2016-10-30,14,3134,2755
2016-10-30,15,4875,4117
2016-10-30,16,5658,5212
2016-10-30,17,5026,5116
2016-10-30,18,3202,3408
2016-10-30,19,1697,1958
2016-10-30,20,741,802
2016-10-30,21,508,493
2016-10-30,22,423,439
2016-10-30,23,193,215
2016-10-31,00,64,88
2016-10-31,01,4,11
2016-10-31,02,9,4
2016-10-31,03,13,13
2016-10-31,04,4,2
2016-10-31,05,16,8
2016-10-31,06,42,25
2016-10-31,07,207,157
2016-10-31,08,423,388
2016-10-31,09,1218,1013
2016-10-31,10,2509,2061
2016-10-31,11,3244,2606
2016-10-31,12,2884,2657
2016-10-31,13,2184,2327
2016-10-31,14,2730,2552
2016-10-31,15,3715,3286
2016-10-31,16,4401,3972
2016-10-31,17,3773,3635
2016-10-31,18,2543,2580
2016-10-31,19,1670,1721
2016-10-31,20,1014,994
2016-10-31,21,801,721
2016-10-31,22,839,727
2016-10-31,23,579,591
2016-11-01,00,221,266
2016-11-01,01,77,98
2016-11-01,02,50,62
2016-11-01,03,16,23
2016-11-01,04,14,8
2016-11-01,05,15,8
2016-11-01,06,25,22
2016-11-01,07,124,70
2016-11-01,08,245,242
2016-11-01,09,1015,804
2016-11-01,10,2126,1834
2016-11-01,11,3309,2951
2016-11-01,12,2891,2656
2016-11-01,13,2028,2080
2016-11-01,14,2612,2406
2016-11-01,15,4309,3847
2016-11-01,16,5346,4478
2016-11-01,17,4295,4510
2016-11-01,18,2564,2777
2016-11-01,19,1058,1112
2016-11-01,20,396,431
2016-11-01,21,281,268
2016-11-01,22,164,183
2016-11-01,23,84,94
2016-11-02,00,13,33
2016-11-02,01,9,11
2016-11-02,02,5,9
2016-11-02,03,10,12
2016-11-02,04,5,4
2016-11-02,05,24,17
2016-11-02,06,50,34
2016-11-02,07,373,312
2016-11-02,08,664,564
2016-11-02,09,994,852
2016-11-02,10,1426,1352
2016-11-02,11,1747,1596
2016-11-02,12,1466,1482
2016-11-02,13,1453,1399
2016-11-02,14,1412,1382
2016-11-02,15,1503,1344
2016-11-02,16,1665,1593
2016-11-02,17,1582,1555
2016-11-02,18,1114,1107
2016-11-02,19,668,689
2016-11-02,20,286,308
2016-11-02,21,204,207
2016-11-02,22,121,144
2016-11-02,23,70,64
2016-12-02,13,1609,1661
2016-12-02,14,1717,1528
2016-12-02,15,1813,1760
2016-12-02,16,2141,2109
2016-12-02,17,2302,2509
2016-11-10,01,31,27
2016-11-10,02,22,20
2016-11-10,03,26,13
2016-11-10,04,22,16
2016-11-10,05,19,13
2016-11-10,06,37,23
2016-11-10,07,337,302
2016-11-10,08,639,555
2016-11-10,09,905,779
2016-11-10,10,1449,1410
2016-11-10,11,1710,1619
2016-11-10,12,1300,1278
2016-11-10,13,1398,1335
2016-11-10,14,1371,1271
2016-11-10,15,1591,1468
2016-11-10,16,1728,1552
2016-11-10,17,1568,1755
2016-11-10,18,1093,1110
2016-11-10,19,653,677
2016-11-10,20,284,300
2016-11-10,21,213,224
2016-11-10,22,210,193
2016-11-10,23,108,139
2016-11-11,00,42,57
2016-11-11,01,12,15
2016-11-11,02,21,21
2016-11-11,03,6,10
2016-11-11,04,9,9
