date,hour,p109
2016-01-25,16,100
2016-01-25,17,114
2016-01-25,18,132
2016-01-25,19,151
2016-01-25,20,159
2016-01-25,21,160
2016-01-25,22,159
2016-01-25,23,159
2016-01-26,00,159
2016-01-26,01,160
2016-01-26,02,160
2016-01-26,03,160
2016-01-26,04,159
2016-01-26,05,160
2016-01-26,06,159
2016-01-26,07,144
2016-01-26,08,100
2016-01-26,09,75
2016-01-26,10,63
2016-01-26,11,63
2016-01-26,12,62
2016-01-26,13,64
2016-01-26,14,64
2016-01-26,15,65
2016-01-26,16,73
2016-01-26,17,91
2016-01-26,18,112
2016-01-26,19,143
2016-01-26,20,160
2016-01-26,21,159
2016-01-26,22,159
2016-01-26,23,160
2016-01-27,00,159
2016-01-27,01,158
2016-01-27,02,159
2016-01-27,03,158
2016-01-27,04,159
2016-01-27,05,159
2016-01-27,06,158
2016-01-27,07,148
2016-01-27,08,98
2016-01-27,09,62
2016-01-27,10,53
2016-01-27,11,51
2016-01-27,12,54
2016-01-27,13,57
2016-01-27,14,59
2016-01-27,15,67
2016-01-27,16,79
2016-01-27,17,98
2016-01-27,18,130
2016-01-27,19,153
2016-01-27,20,160
2016-01-27,21,160
2016-01-27,22,159
2016-01-27,23,159
2016-01-28,00,160
2016-01-28,01,160
2016-01-28,02,159
2016-01-28,03,159
2016-01-28,04,159
2016-01-28,05,160
2016-01-28,06,160
2016-01-28,07,146
2016-01-28,08,100
2016-01-28,09,68
2016-01-28,10,55
2016-01-28,11,56
2016-01-28,12,61
2016-01-28,13,66
2016-01-28,14,68
2016-01-28,15,71
2016-01-28,16,84
2016-01-28,17,101
2016-01-28,18,119
2016-01-28,19,141
2016-01-28,20,159
2016-01-28,21,160
2016-01-28,22,159
2016-01-28,23,159
2016-01-29,00,160
2016-01-29,01,160
2016-01-29,02,159
2016-01-29,03,160
2016-01-29,04,159
2016-01-29,05,158
2016-01-29,06,158
2016-01-29,07,149
2016-01-29,08,106
2016-01-29,09,78
2016-01-29,10,66
2016-01-29,11,61
2016-01-29,12,66
2016-01-29,13,72
2016-01-29,14,77
2016-01-29,15,85
2016-01-29,16,83
2016-01-29,17,96
2016-01-29,18,120
2016-01-29,19,149
2016-01-29,20,159
2016-01-29,21,159
2016-01-29,22,159
2016-01-29,23,159
2016-01-30,00,158
2016-01-30,01,159
2016-01-30,02,160
2016-01-30,03,159
2016-01-30,04,159
2016-01-30,05,160
2016-01-30,06,159
2016-01-30,07,159
2016-01-30,08,158
2016-01-30,09,147
2016-01-30,10,139
2016-01-30,11,131
2016-01-30,12,126
2016-01-30,13,102
2016-01-30,14,15
2016-01-30,15,4
2016-01-30,16,9
2016-01-30,17,79
2016-01-30,18,127
2016-01-30,19,139
2016-01-30,20,144
2016-01-30,21,146
2016-01-30,22,146
2016-01-30,23,147
2016-01-31,00,148
2016-01-31,01,150
2016-01-31,02,149
2016-01-31,03,150
2016-01-31,04,150
2016-01-31,05,150
2016-01-31,06,150
2016-01-31,07,150
2016-01-31,08,149
2016-01-31,09,151
2016-01-31,10,151
2016-01-31,11,153
2016-01-31,12,154
2016-01-31,13,154
2016-01-31,14,153
2016-01-31,15,140
2016-01-31,16,111
2016-01-31,17,120
2016-01-31,18,146
2016-01-31,19,157
2016-01-31,20,158
2016-01-31,21,159
2016-01-31,22,160
2016-01-31,23,160
2016-02-01,00,160
2016-02-01,01,160
2016-02-01,02,160
2016-02-01,03,160
2016-02-01,04,160
2016-02-01,05,160
2016-02-01,06,159
2016-02-01,07,148
2016-02-01,08,102
2016-02-01,09,75
2016-02-01,10,67
2016-02-01,11,65
2016-02-01,12,64
2016-02-01,13,65
2016-02-01,14,71
2016-02-01,15,86
2016-02-01,16,91
2016-02-01,17,101
2016-02-01,18,118
2016-02-01,19,141
2016-02-01,20,159
2016-02-01,21,159
2016-02-01,22,160
2016-02-01,23,160
2016-02-02,00,160
2016-02-02,01,159
2016-02-02,02,160
2016-02-02,03,160
2016-02-02,04,160
2016-02-02,05,160
2016-02-02,06,159
2016-02-02,07,140
2016-02-02,08,100
2016-02-02,09,69
2016-02-02,10,59
2016-02-02,11,49
2016-02-02,12,55
2016-02-02,13,62
2016-02-02,14,64
2016-02-02,15,70
2016-02-02,16,79
2016-02-02,17,92
2016-02-02,18,110
2016-02-02,19,137
2016-02-02,20,159
2016-02-02,21,160
2016-02-02,22,159
2016-02-02,23,159
2016-02-03,00,160
2016-02-03,01,159
2016-02-03,02,159
2016-02-03,03,159
2016-02-03,04,160
2016-02-03,05,160
2016-02-03,06,159
2016-02-03,07,144
2016-02-03,08,108
2016-02-03,09,87
2016-02-03,10,79
2016-02-03,11,77
2016-02-03,12,78
2016-02-03,13,74
2016-02-03,14,76
2016-02-03,15,77
2016-02-03,16,79
2016-02-03,17,98
2016-02-03,18,120
2016-02-03,19,146
2016-02-03,20,160
2016-02-03,21,159
2016-02-03,22,160
2016-02-03,23,160
2016-02-04,00,160
2016-02-04,01,159
2016-02-04,02,159
2016-02-04,03,159
2016-02-04,04,159
2016-02-04,05,159
2016-02-04,06,158
2016-02-04,07,142
2016-02-04,08,98
2016-02-04,09,67
2016-02-04,10,56
2016-02-04,11,54
2016-02-04,12,57
2016-02-04,13,61
2016-02-04,14,66
2016-02-04,15,70
2016-02-04,16,78
2016-02-04,17,97
2016-02-04,18,125
2016-02-04,19,149
2016-02-04,20,160
2016-02-04,21,160
2016-02-04,22,160
2016-02-04,23,159
2016-02-05,00,160
2016-02-05,01,160
2016-02-05,02,160
2016-02-05,03,160
2016-02-05,04,160
2016-02-05,05,160
2016-02-05,06,159
2016-02-05,07,152
2016-02-05,08,114
2016-02-05,09,87
2016-02-05,10,83
2016-02-05,11,82
2016-02-05,12,84
2016-02-05,13,93
2016-02-05,14,99
2016-02-05,15,102
2016-02-05,16,110
2016-02-05,17,116
2016-02-05,18,132
2016-02-05,19,155
2016-02-05,20,159
2016-02-05,21,159
2016-02-05,22,159
2016-02-05,23,159
2016-02-06,00,159
2016-02-06,01,159
2016-02-06,02,159
2016-02-06,03,160
2016-02-06,04,159
2016-02-06,05,159
2016-02-06,06,160
2016-02-06,07,160
2016-02-06,08,158
2016-02-06,09,153
2016-02-06,10,141
2016-02-06,11,136
2016-02-06,12,140
2016-02-06,13,140
2016-02-06,14,143
2016-02-06,15,144
2016-02-06,16,139
2016-02-06,17,137
2016-02-06,18,146
2016-02-06,19,154
2016-02-06,20,159
2016-02-06,21,160
2016-02-06,22,160
2016-02-06,23,160
2016-02-07,00,160
2016-02-07,01,159
2016-02-07,02,159
2016-02-07,03,160
2016-02-07,04,159
2016-02-07,05,159
2016-02-07,06,158
2016-02-07,07,159
2016-02-07,08,159
2016-02-07,09,159
2016-02-07,10,160
2016-02-07,11,159
2016-02-07,12,157
2016-02-07,13,157
2016-02-07,14,159
2016-02-07,15,159
2016-02-07,16,159
2016-02-07,17,160
2016-02-07,18,160
2016-02-07,19,160
2016-02-07,20,159
2016-02-07,21,160
2016-02-07,22,160
2016-02-07,23,160
2016-02-08,00,160
2016-02-08,01,159
2016-02-08,02,160
2016-02-08,03,159
2016-02-08,04,160
2016-02-08,05,160
2016-02-08,06,160
2016-02-08,07,147
2016-02-08,08,112
2016-02-08,09,93
2016-02-08,10,83
2016-02-08,11,83
2016-02-08,12,85
2016-02-08,13,85
2016-02-08,14,84
2016-02-08,15,93
2016-02-08,16,101
2016-02-08,17,109
2016-02-08,18,125
2016-02-08,19,151
2016-02-08,20,159
2016-02-08,21,160
2016-02-08,22,160
2016-02-08,23,160
2016-02-09,00,160
2016-02-09,01,159
2016-02-09,02,160
2016-02-09,03,160
2016-02-09,04,160
2016-02-09,05,160
2016-02-09,06,160
2016-02-09,07,147
2016-02-09,08,103
2016-02-09,09,79
2016-02-09,10,72
2016-02-09,11,72
2016-02-09,12,74
2016-02-09,13,73
2016-02-09,14,70
2016-02-09,15,73
2016-02-09,16,88
2016-02-09,17,106
2016-02-09,18,123
2016-02-09,19,141
2016-02-09,20,159
2016-02-09,21,159
2016-02-09,22,158
2016-02-09,23,159
2016-02-10,00,159
2016-02-10,01,160
2016-02-10,02,160
2016-02-10,03,160
2016-02-10,04,160
2016-02-10,05,160
2016-02-10,06,159
2016-02-10,07,145
2016-02-10,08,93
2016-02-10,09,66
2016-02-10,10,58
2016-02-10,11,58
2016-02-10,12,58
2016-02-10,13,58
2016-02-10,14,56
2016-02-10,15,57
2016-02-10,16,76
2016-02-10,17,97
2016-02-10,18,119
2016-02-10,19,143
2016-02-10,20,159
2016-02-10,21,159
2016-02-10,22,159
2016-02-10,23,160
2016-02-11,00,160
2016-02-11,01,160
2016-02-11,02,159
2016-02-11,03,160
2016-02-11,04,160
2016-02-11,05,160
2016-02-11,06,160
2016-02-11,07,147
2016-02-11,08,102
2016-02-11,09,77
2016-02-11,10,64
2016-02-11,11,60
2016-02-11,12,64
2016-02-11,13,66
2016-02-11,14,66
2016-02-11,15,76
2016-02-11,16,85
2016-02-11,17,104
2016-02-11,18,129
2016-02-11,19,154
2016-02-11,20,160
2016-02-11,21,159
2016-02-11,22,159
2016-02-11,23,160
2016-02-12,00,160
2016-02-12,01,159
2016-02-12,02,159
2016-02-12,03,160
2016-02-12,04,159
2016-02-12,05,160
2016-02-12,06,159
2016-02-12,07,151
2016-02-12,08,110
2016-02-12,09,82
2016-02-12,10,74
2016-02-12,11,69
2016-02-12,12,75
2016-02-12,13,83
2016-02-12,14,86
2016-02-12,15,91
2016-02-12,16,94
2016-02-12,17,109
2016-02-12,18,129
2016-02-12,19,150
2016-02-12,20,159
2016-02-12,21,159
2016-02-12,22,159
2016-02-12,23,160
2016-02-13,00,160
2016-02-13,01,160
2016-02-13,02,159
2016-02-13,03,160
2016-02-13,04,160
2016-02-13,05,160
2016-02-13,06,159
2016-02-13,07,159
2016-02-13,08,157
2016-02-13,09,144
2016-02-13,10,128
2016-02-13,11,128
2016-02-13,12,118
